Year,Annual_Rain,Jun_Sep_Rain,Jun_Sep_Cloud,Jun_Sep_Wdf,Jun_Sep_Mtemp,Ann_Cloud,Ann_Wdf,Ann_Mtemp
1969,653.233,604.488,206.978,108.788,105.666,377.221,197.194,226.907
1970,631.651,475.416,212.064,106.318,102.828,394.088,192.907,219.115
1971,849.939,756.48,222.228,105.136,99.727,405.252,191.007,214.243
1972,717.628,660.249,193.403,107.242,105.174,375.089,194.776,225.068
1973,626.368,547.162,221.535,108.567,105.379,406.447,196.405,225.898
1974,489.429,458.331,209.294,106.521,104.842,328.883,194.561,222.793
1975,1033.549,964.383,218.218,105.873,101.024,405.833,192.383,218.2
1976,908.421,820.928,214.417,104.051,101.898,412.614,190.835,219.113
1977,799.003,680.25,220.76,105.19,101.764,410.042,191.302,221.838
1978,911.319,860.167,219,107.723,102.577,415.684,195.044,219.517
1979,391.669,293.672,188.457,108.324,104.158,401.841,194.728,225.945
1980,728.165,672.05,209.716,107.936,103.644,411.958,197.809,230.023
1981,593.013,470.459,208.802,107.28,105.089,398.795,193.345,224.202
1982,749.707,556.324,206.766,109.872,105.293,409.044,193.33,220.048
1983,820.209,637.502,211.359,108.965,103.317,412.138,191.631,214.876
1984,638.413,597.819,208.173,106.752,102.324,397.713,194.611,224.556
1985,884.319,788.483,213.194,108.695,103.807,399.124,196.897,226.758
1986,493.493,379.735,206.133,107.43,103.329,389.946,192.297,218.923
1987,338.953,234.039,205.551,116.276,111.59,392.007,205.587,234.302
1988,953.124,889.667,218.489,110.215,103.339,406.533,202.651,231.2
1989,427.006,319.821,209.312,106.988,104.339,412.695,193.519,223.26
1990,840.883,734.927,221.793,109.625,104.51,423.745,194.896,225.19
1991,655.358,538.266,210.303,110.614,105.841,401.164,197.286,223.099
1992,502.434,400.331,210.237,109.863,103.407,401.059,194.92,221.184
1993,841.876,796.677,210.237,107.278,103.48,401.059,194.524,223.526
1994,800.407,734.762,210.237,108.85,103.555,401.059,197.771,224.143
1995,889.162,779.34,210.237,111.334,104.867,414.929,200.313,224.693
1996,837.897,776.038,213.544,106.622,100.862,384.428,193.658,219.737
1997,610.656,449.211,175.685,106.194,102.175,410.576,188.805,210.319
1998,807.17,685.793,213.384,108.124,104.556,412.42,195.626,222.709
1999,388.325,316.208,195.431,109.758,105.805,381.645,202.52,231.797
2000,668.528,547.961,216.155,108.333,102.6,410.227,199.827,226.355
2001,607.261,493.243,188.707,110.294,104.579,406.787,200.233,227.05
2002,421.161,371.046,199.175,111.605,105.288,426.661,202.046,230.669
